Metric,Subject,Correlation,P_Value,Significant,N_Points
Q_Length,Human,0.4210723135500769,0.40571998886623856,False,6
Q_Length,Llama 3.1 70B,-0.2716701892960964,0.6025199833454823,False,6
Q_Length,Qwen 2.5 32B,-0.33762857457703055,0.5128007943639217,False,6
Q_Length,OLMo 13B,-0.5056236644626481,0.3061971856068994,False,6
Q_Length,Mistral 7B,-0.7176172774878937,0.10835140353484628,False,6
Q_Length,Phi-3 Mini,-0.5583021453195476,0.24955853020861543,False,6
Q_Length,InternLM 1.8B,-0.7498749845579686,0.0860195589653245,False,6
Q_Word_Count,Human,0.3550691975163808,0.489778724700865,False,6
Q_Word_Count,Llama 3.1 70B,-0.12687290058310038,0.8107117687219669,False,6
Q_Word_Count,Qwen 2.5 32B,-0.18220604017596215,0.7297154726421603,False,6
Q_Word_Count,OLMo 13B,-0.3887595817473405,0.44623802510327143,False,6
Q_Word_Count,Mistral 7B,-0.6069428933426178,0.2013783731190671,False,6
Q_Word_Count,Phi-3 Mini,-0.42703134118324354,0.39838880196419324,False,6
Q_Word_Count,InternLM 1.8B,-0.7138737191322448,0.11109004415782313,False,6
Q_Sentence_Count,Human,0.24836361996678266,0.635114661383167,False,6
Q_Sentence_Count,Llama 3.1 70B,0.5200725254784491,0.2902246322193332,False,6
Q_Sentence_Count,Qwen 2.5 32B,0.5448869020822134,0.2635585804691669,False,6
Q_Sentence_Count,OLMo 13B,0.27157777111842224,0.6026483827494771,False,6
Q_Sentence_Count,Mistral 7B,0.13814127818144065,0.7941061586134016,False,6
Q_Sentence_Count,Phi-3 Mini,0.32504127557746265,0.529608689563686,False,6
Q_Sentence_Count,InternLM 1.8B,-0.03672399131877782,0.9449387769555271,False,6
Q_Avg_Word_Length,Human,0.2676998245875482,0.60804237562924,False,6
Q_Avg_Word_Length,Llama 3.1 70B,-0.5728613834217108,0.234705932117213,False,6
Q_Avg_Word_Length,Qwen 2.5 32B,-0.6202573979606605,0.18892638034760334,False,6
Q_Avg_Word_Length,OLMo 13B,-0.43218350297164704,0.39208692045381477,False,6
Q_Avg_Word_Length,Mistral 7B,-0.3807733768255471,0.4564437893370527,False,6
Q_Avg_Word_Length,Phi-3 Mini,-0.48550442439486774,0.32896359092228455,False,6
Q_Avg_Word_Length,InternLM 1.8B,0.0005115226205479884,0.9992327161360992,False,6
Q_Max_Dependency_Depth,Human,0.1929371188477141,0.7141853379829368,False,6
Q_Max_Dependency_Depth,Llama 3.1 70B,0.3100388782443298,0.5498427876353107,False,6
Q_Max_Dependency_Depth,Qwen 2.5 32B,0.2799314875426611,0.5910707135923264,False,6
Q_Max_Dependency_Depth,OLMo 13B,0.044558926817875356,0.9332058456023165,False,6
Q_Max_Dependency_Depth,Mistral 7B,-0.1791081641770056,0.7342106249090303,False,6
Q_Max_Dependency_Depth,Phi-3 Mini,0.028962809675193588,0.956567933131755,False,6
Q_Max_Dependency_Depth,InternLM 1.8B,-0.35743070272325406,0.4866860307399711,False,6
Q_Avg_Dependency_Depth,Human,0.19072886579890044,0.7173758209831888,False,6
Q_Avg_Dependency_Depth,Llama 3.1 70B,0.30464936138196475,0.5571633994177877,False,6
Q_Avg_Dependency_Depth,Qwen 2.5 32B,0.2735526904707932,0.5999060851690079,False,6
Q_Avg_Dependency_Depth,OLMo 13B,0.04014098705879185,0.9398208589747955,False,6
Q_Avg_Dependency_Depth,Mistral 7B,-0.18534628067344516,0.7251642019697762,False,6
Q_Avg_Dependency_Depth,Phi-3 Mini,0.02262309861697651,0.9660711413774031,False,6
Q_Avg_Dependency_Depth,InternLM 1.8B,-0.3638253661712066,0.47834153196620544,False,6
Q_Unique_Dependency_Types,Human,0.2094044974379814,0.6904844729493007,False,6
